Equipment_ID,Failure_Risk,Tool_Wear,Maintenance_Priority,Next_Maintenance,Days_Until_Maintenance
67,0.06961196397570965,104.74519972230463,Low,Within 1 week,1.0
68,0.17690684447157165,105.90308628988592,Low,Immediate,0.0
69,0.6010082552049024,96.71546903028027,Medium,Immediate,0.0
70,0.11991085467757313,107.77290572424694,Low,Within 1 week,1.0
71,0.04944648889784306,106.3721597779609,Low,Within 1 week,1.0
72,0.2876624059739832,116.94197378803432,Low,Within 1 week,1.0
73,0.11636423305321873,99.69819865177638,Low,Within 1 week,1.0
74,0.14343999216185044,102.65446371120527,Low,Within 1 week,1.0
75,0.15148660525917634,109.38731847114566,Low,Immediate,0.0
76,0.09868049793987649,104.05313087310633,Low,Within 1 week,1.0
77,0.05298890710508247,104.6370131659089,Low,Within 1 week,1.0
78,0.054411339313620403,103.09560768046381,Low,Within 1 week,1.0
79,0.13336383917300362,106.9473269564381,Low,Immediate,0.0
80,0.031757764245150776,100.39150541286796,Low,Within 1 week,1.0
81,0.07897317853094551,108.39749199760172,Low,Within 1 week,1.0
82,0.11207845182151323,115.53179182675078,Low,Within 1 week,1.0
83,0.21642536605929652,104.5269851875128,Low,Within 1 week,1.0
84,0.33042036887392895,101.31084187500129,Low,Immediate,0.0
85,0.34033497435886234,105.73786628092017,Low,Immediate,0.0
86,0.16939564230496176,103.28576284252587,Low,Within 1 week,1.0
87,0.05793171048122437,103.59190217293343,Low,Within 1 week,1.0
88,0.23776614907930987,110.30936607181943,Low,Within 1 week,1.0
89,0.14669960888998324,103.7815797545178,Low,Within 1 week,1.0
90,0.8795457516525127,101.18147436567018,High,Immediate,0.0
91,0.08255079588828307,105.78846195607778,Low,Within 1 week,1.0
92,0.10945440287042166,104.52175392902437,Low,Within 1 week,1.0
93,0.03700477554904435,103.29354875905885,Low,Immediate,0.0
94,0.07069198044844002,103.95801899024511,Low,Within 1 week,1.0
95,0.11844959564719723,104.91203069811816,Low,Within 1 week,1.0
96,0.12251116664345153,104.71485608316556,Low,Immediate,0.0
97,0.3477475592027893,100.54142999509051,Low,Immediate,0.0
98,0.06543461660390813,103.72889970686883,Low,Immediate,0.0
99,0.1932697204885535,105.98824067373491,Low,Within 1 week,1.0
100,0.14009691402979677,103.04353117159702,Low,Within 1 week,1.0
101,0.1468974210371431,104.49082802053069,Low,Within 1 week,1.0
102,0.1321964394890881,95.25224956517992,Low,Immediate,0.0
103,0.27791466015655003,105.15255594635768,Low,Within 1 week,1.0
104,0.18139555529907483,104.26792299281232,Low,Within 1 week,1.0
105,0.1612679378484635,105.79006273032697,Low,Within 1 week,1.0
106,0.07471952921716256,105.39462563765908,Low,Immediate,0.0
107,0.0830248011291796,113.55330251906301,Low,Within 1 week,1.0
108,0.0728069912816403,106.69033945981307,Low,Within 1 week,1.0
109,0.1599427874675231,104.28496122859596,Low,Within 1 week,1.0
110,0.06682628429729522,79.11802372866111,Low,Within 1 week,2.0
111,0.02720640935461974,100.54972153728757,Low,Within 1 week,1.0
112,0.16640954192714152,109.26070667865152,Low,Within 1 week,1.0
113,0.06452278643836883,103.57357959295415,Low,Within 1 week,1.0
114,0.16391396197057556,102.99676064451593,Low,Within 1 week,1.0
115,0.15685146181612797,106.66808292101054,Low,Within 1 week,1.0
116,0.43596696836820803,113.5940135694583,Medium,Immediate,0.0
117,0.1273736060688768,105.18171852324332,Low,Within 1 week,1.0
118,0.29877261789260645,103.74773585605597,Low,Within 1 week,1.0
119,0.17086281390089175,101.40013473193329,Low,Immediate,0.0
120,0.03984541311740539,105.17725606244007,Low,Immediate,0.0
121,0.11455416219924963,105.68281962385682,Low,Within 1 week,1.0
122,0.09739180221394259,102.77985132405605,Low,Within 1 week,1.0
123,0.14317783632346337,104.90735844763573,Low,Within 1 week,1.0
124,0.504235722613639,105.57033683539231,Medium,Immediate,0.0
125,0.06042777787501929,109.40480208239009,Low,Within 1 week,1.0
126,0.024875162521241504,107.38117575183293,Low,Within 1 week,1.0
127,0.122705811314249,107.59032144119479,Low,Within 1 week,1.0
128,0.1082210455694714,103.13641272947652,Low,Within 1 week,1.0
129,0.1329592711661033,91.63504181567454,Low,Within 1 week,2.0
130,0.0986763720922235,101.78721912698266,Low,Within 1 week,1.0
131,0.05188071233681102,105.39293081529789,Low,Immediate,0.0
132,0.22465428068475898,98.90060948395431,Low,Within 1 week,1.0
133,0.1600048729936117,103.52073321390283,Low,Within 1 week,1.0
134,0.15333961351321426,105.03360641863654,Low,Within 1 week,1.0
135,0.04556603850425953,98.23136310183773,Low,Within 1 week,1.0
136,0.06849085513085944,101.10530896423322,Low,Within 1 week,1.0
137,0.12776268553358183,92.7885191357196,Low,Within 1 week,2.0
138,0.05817944171518711,104.96858443991303,Low,Within 1 week,1.0
139,0.10320743884494393,100.38493088520062,Low,Immediate,0.0
140,0.09319862369410437,112.10863391575329,Low,Immediate,0.0
141,0.027208799295975847,105.03359393362958,Low,Within 1 week,1.0
142,0.07589658629937839,102.09509377696475,Low,Within 1 week,1.0
143,0.04456611793984667,102.71109178832096,Low,Within 1 week,1.0
144,0.1543709268991735,114.27671225130177,Low,Within 1 week,1.0
145,0.022109163180102656,102.4801421058114,Low,Within 1 week,1.0
146,0.23500437999566023,88.13957642020253,Low,Within 1 week,2.0
147,0.11744118248229002,104.88826957285075,Low,Within 1 week,1.0
148,0.11905954830904344,112.87566183133644,Low,Within 1 week,1.0
149,0.11471925113290621,105.63106091137475,Low,Within 1 week,1.0
150,0.07298107864907685,103.78701431388258,Low,Within 1 week,1.0
151,0.13427136078724752,110.32416240723774,Low,Immediate,0.0
152,0.08040985420406756,107.29482880775748,Low,Within 1 week,1.0
153,0.13254803078899127,108.30920963224378,Low,Within 1 week,1.0
154,0.5125669974935787,121.0022586600247,Medium,Immediate,0.0
155,0.32822776302532636,110.47845895080826,Low,Immediate,0.0
156,0.11135413592268635,104.4574189703553,Low,Within 1 week,1.0
157,0.04586644545952085,105.13703995523574,Low,Within 1 week,1.0
158,0.25939113365024585,106.74655408682169,Low,Within 1 week,1.0
159,0.04627412110486848,99.56133865246191,Low,Within 1 week,1.0
160,0.07362911897775315,107.41676723593767,Low,Within 1 week,1.0
161,0.13822696495305378,101.92340462049441,Low,Within 1 week,1.0
162,0.0833248262364715,105.82939950312476,Low,Within 1 week,1.0
163,0.04838285315900441,104.81438233372644,Low,Within 1 week,1.0
164,0.15063186113784255,102.50547107261488,Low,Immediate,0.0
165,0.12087257637804905,102.90454441475269,Low,Within 1 week,1.0
166,0.12213509405887997,101.15233288333891,Low,Within 1 week,1.0
167,0.17092943590547846,103.7387461308883,Low,Within 1 week,1.0
168,0.10763547337791532,104.93954390146584,Low,Within 1 week,1.0
169,0.1012596282132508,106.90035813357817,Low,Within 1 week,1.0
170,0.06334162833614583,95.60777309653913,Low,Within 1 week,2.0
171,0.06209519411379501,101.07771413187614,Low,Immediate,0.0
172,0.08873962606821437,92.27381764348246,Low,Within 1 week,2.0
173,0.16393460964577297,104.78919182244566,Low,Within 1 week,1.0
174,0.12656733494628547,105.2394964886563,Low,Immediate,0.0
175,0.21803488244739294,106.1244278648878,Low,Immediate,0.0
176,0.06835026107733722,110.85898254802599,Low,Within 1 week,1.0
177,0.07819780594871012,114.57909405082691,Low,Within 1 week,1.0
178,0.09183078309117423,99.95980878513095,Low,Within 1 week,1.0
179,0.17733345731858216,107.04429461730882,Low,Within 1 week,1.0
180,0.10697490524661388,100.94460792203681,Low,Immediate,0.0
181,0.2620343982777427,106.25329913139595,Low,Within 1 week,1.0
182,0.023339325118522658,99.86117063537472,Low,Within 1 week,1.0
183,0.14343101031854646,106.99640408853958,Low,Immediate,0.0
184,0.11006365933712792,105.57381108863218,Low,Within 1 week,1.0
185,0.11553412789477635,103.86802063163385,Low,Immediate,0.0
186,0.16651256229433206,101.07879223457006,Low,Within 1 week,1.0
187,0.16543351395654377,103.80506028761069,Low,Within 1 week,1.0
188,0.11876210793732266,98.68035218263641,Low,Within 1 week,1.0
189,0.1203049352682076,105.93257637291481,Low,Within 1 week,1.0
190,0.13007039189914385,102.9782733092646,Low,Within 1 week,1.0
191,0.1432230070288833,102.59360821115575,Low,Immediate,0.0
192,0.1032754529416622,104.66131070864884,Low,Immediate,0.0
193,0.18126634692188953,103.97955831296824,Low,Within 1 week,1.0
194,0.1413910484819901,102.29450204041376,Low,Immediate,0.0
195,0.1534984918119334,103.61777487315753,Low,Within 1 week,1.0
196,0.06210681570775395,109.79776570570436,Low,Within 1 week,1.0
197,0.1520517239354645,105.01003206407435,Low,Within 1 week,1.0
198,0.07863438663018413,112.03902171317337,Low,Within 1 week,1.0
199,0.0485235644159314,103.21048808576343,Low,Within 1 week,1.0
200,0.06615845424116179,107.74876723901846,Low,Immediate,0.0
201,0.08985700490806794,104.25643522117377,Low,Within 1 week,1.0
202,0.06690411574834865,106.27127524078564,Low,Immediate,0.0
203,0.062068234811729246,104.40286001236099,Low,Within 1 week,1.0
204,0.11991626423979523,95.63343193619485,Low,Within 1 week,2.0
205,0.24642248631760041,92.21875537173523,Low,Within 1 week,2.0
206,0.18596223313927404,111.95616850470616,Low,Within 1 week,1.0
207,0.04840423766531881,111.65504701066074,Low,Immediate,0.0
208,0.11814804014656775,102.89774850607175,Low,Immediate,0.0
209,0.055119125846314405,107.32114500080371,Low,Immediate,0.0
210,0.3214798734605126,99.85138353087264,Low,Immediate,0.0
211,0.14271322428696512,103.06309612764296,Low,Within 1 week,1.0
212,0.07845358608410248,110.68920124521352,Low,Within 1 week,1.0
213,0.01727857812526183,117.58858428509139,Low,Within 1 week,1.0
214,0.12551947209811862,107.61307709184334,Low,Within 1 week,1.0
215,0.11475538847935765,106.09005500552976,Low,Within 1 week,1.0
216,0.02132154838352722,104.3263386245075,Low,Within 1 week,1.0
217,0.07731036069290136,109.56778039056424,Low,Within 1 week,1.0
218,0.03870513003972332,104.91916656391021,Low,Within 1 week,1.0
219,0.15615617342554178,104.61778890770347,Low,Within 1 week,1.0
220,0.11532642352484693,104.97967404878625,Low,Within 1 week,1.0
221,0.12465828938379209,103.19424389109466,Low,Immediate,0.0
222,0.050023722563486125,105.35348495801014,Low,Within 1 week,1.0
223,0.05941559865457466,106.45827824596199,Low,Within 1 week,1.0
224,0.03361353176630955,117.57839638191915,Low,Within 1 week,1.0
225,0.10344376510864733,104.31560030279685,Low,Within 1 week,1.0
226,0.18031959206769796,105.37466821554072,Low,Within 1 week,1.0
227,0.05351443256761797,95.93029626822582,Low,Within 1 week,1.0
228,0.5794162231486819,103.15269628137064,Medium,Immediate,0.0
229,0.103267890756452,105.32803382683879,Low,Within 1 week,1.0
230,0.1127266153154535,95.1396402575762,Low,Immediate,0.0
231,0.15432348753290423,105.46822597383472,Low,Within 1 week,1.0
232,0.17905043556597328,104.85165448589595,Low,Within 1 week,1.0
233,0.1472417390527836,102.24566730579981,Low,Within 1 week,1.0
234,0.16700620164238864,103.96854082424214,Low,Within 1 week,1.0
235,0.06697038372739055,104.3236338340146,Low,Within 1 week,1.0
236,0.06819767179350111,104.94226057052808,Low,Within 1 week,1.0
237,0.09058782188509923,105.36940889961151,Low,Within 1 week,1.0
238,0.15479052107417196,102.96925505790973,Low,Within 1 week,1.0
239,0.13823847486279978,102.3251940253698,Low,Immediate,0.0
240,0.13456993721403218,105.94597454791334,Low,Immediate,0.0
241,0.0843231074789466,105.83523135260977,Low,Within 1 week,1.0
242,0.05563362344627716,108.31050885289983,Low,Within 1 week,1.0
243,0.49415837041516075,123.98099997965669,Medium,Immediate,0.0
244,0.0595009858220818,115.65442339901257,Low,Within 1 week,1.0
245,0.13468110034883377,111.62342357697402,Low,Within 1 week,1.0
246,0.15777799741902188,106.84647470817899,Low,Within 1 week,1.0
247,0.13950429411162824,105.8250339002788,Low,Within 1 week,1.0
248,0.11637941274887237,107.76175787348117,Low,Within 1 week,1.0
249,0.13915158127335603,105.97078309683315,Low,Within 1 week,1.0
250,0.05137658978765054,109.12601595572262,Low,Within 1 week,1.0
251,0.2298631262675363,105.46487158005961,Low,Within 1 week,1.0
252,0.16574489543396256,107.16811311969788,Low,Within 1 week,1.0
253,0.07153609910913322,107.5981064042736,Low,Within 1 week,1.0
254,0.05852423587637854,106.9945900148186,Low,Within 1 week,1.0
255,0.0966594447347205,104.79723931461574,Low,Immediate,0.0
256,0.12667864131604317,106.13144331063395,Low,Within 1 week,1.0
257,0.16872772769781313,106.87810703488199,Low,Within 1 week,1.0
258,0.14449374447970217,104.06801832689281,Low,Within 1 week,1.0
259,0.04936506371438341,105.13552196582538,Low,Within 1 week,1.0
260,0.12233268096699718,105.20725613472626,Low,Immediate,0.0
261,0.1814154016306836,98.30619166515329,Low,Within 1 week,1.0
262,0.6086096602366294,105.18280976266345,Medium,Immediate,0.0
263,0.092971530598286,104.8286415060387,Low,Within 1 week,1.0
264,0.12587222312232624,107.24988616927149,Low,Immediate,0.0
265,0.05900935609228685,95.63243680216866,Low,Within 1 week,2.0
266,0.02463460780155297,100.33146905694241,Low,Within 1 week,1.0
267,0.19941291490539903,105.28124727450114,Low,Within 1 week,1.0
268,0.9458783346465317,111.1404732625319,High,Immediate,0.0
269,0.026986994731410693,105.09175830820263,Low,Immediate,0.0
270,0.08512417353558278,97.02249103054643,Low,Immediate,0.0
271,0.19437690281243164,106.52781511976237,Low,Within 1 week,1.0
272,0.13966367017885517,103.26847279788545,Low,Within 1 week,1.0
273,0.0604891416498514,106.26131382075862,Low,Within 1 week,1.0
274,0.13373376636198933,107.88662352862882,Low,Within 1 week,1.0
275,0.8290901461515375,107.91063139347094,High,Immediate,0.0
276,0.09979953945263098,107.04040291763553,Low,Within 1 week,1.0
277,0.09739791465824334,111.20893030405675,Low,Immediate,0.0
278,0.16261930932862836,102.99290941463588,Low,Immediate,0.0
279,0.36530709352372304,104.22762296367712,Low,Immediate,0.0
280,0.10467961427624059,115.43248771625832,Low,Within 1 week,1.0
281,0.014205011816501049,107.90782274049401,Low,Within 1 week,1.0
282,0.23699410184905859,106.70815384183112,Low,Within 1 week,1.0
283,0.0445706557872563,95.43220385277608,Low,Within 1 week,2.0
284,0.10654700043322092,104.71050278338795,Low,Within 1 week,1.0
285,0.1126354947133054,101.26261042485484,Low,Within 1 week,1.0
286,0.12846802199289456,105.24041324540224,Low,Within 1 week,1.0
287,0.10057817199252096,103.98114670228357,Low,Within 1 week,1.0
288,0.08490584452898726,103.19033588118765,Low,Within 1 week,1.0
289,0.4560038347138037,104.99649943663934,Medium,Immediate,0.0
290,0.1364968486009151,108.92898201946082,Low,Within 1 week,1.0
291,0.020510308211290847,105.67001079853296,Low,Immediate,0.0
292,0.13843656051571507,107.49356257292149,Low,Within 1 week,1.0
293,0.15023176007566025,115.79995672559949,Low,Immediate,0.0
294,0.07488660147285253,103.28091355679275,Low,Within 1 week,1.0
295,0.02965825518317849,91.59367722297829,Low,Within 1 week,2.0
296,0.05418884350237497,97.84735114612533,Low,Within 1 week,1.0
297,0.1465143205084684,105.65377248289022,Low,Within 1 week,1.0
298,0.08726938414689166,108.39988864400136,Low,Within 1 week,1.0
299,0.36973609279227604,110.27835031539051,Low,Immediate,0.0
300,0.09536739990513672,102.94133208704912,Low,Immediate,0.0
301,0.1705932756550746,103.44267519415196,Low,Within 1 week,1.0
302,0.20616166928222807,104.30650022666704,Low,Within 1 week,1.0
303,0.09360992710109574,103.4175131130273,Low,Within 1 week,1.0
304,0.023194260309024037,103.96253686972214,Low,Immediate,0.0
305,0.16468950426302345,104.83324238754143,Low,Immediate,0.0
306,0.13994965689643665,126.31769837389042,Low,Within 1 week,1.0
307,0.1275498788792355,107.43833345182473,Low,Within 1 week,1.0
308,0.42498614871382806,93.39189318227584,Medium,Immediate,0.0
309,0.04829366043717391,105.42314004344807,Low,Within 1 week,1.0
310,0.2479003181891663,110.26343325410622,Low,Within 1 week,1.0
311,0.0904751851048356,105.24432098563788,Low,Immediate,0.0
312,0.11113487619267706,105.12968995988804,Low,Immediate,0.0
313,0.16943362797031272,105.44010924015171,Low,Within 1 week,1.0
314,0.08902896670357047,100.62298562325832,Low,Within 1 week,1.0
315,0.10559828784804759,104.35693640786636,Low,Immediate,0.0
316,0.10071263596015827,91.99160947154317,Low,Within 1 week,2.0
317,0.0640472077504654,104.55374710732019,Low,Within 1 week,1.0
318,0.1639117850726527,105.43328419308078,Low,Immediate,0.0
319,0.12958958213003005,97.74881536904779,Low,Within 1 week,1.0
320,0.2361738504488799,107.56682603473563,Low,Within 1 week,1.0
321,0.1852473283083096,106.55626519370061,Low,Within 1 week,1.0
322,0.10142256947852549,104.9528281316804,Low,Within 1 week,1.0
323,0.049836079564105365,107.71272107630556,Low,Within 1 week,1.0
324,0.22149246965851685,103.43323220152065,Low,Within 1 week,1.0
325,0.13366682379978362,106.78163331501464,Low,Within 1 week,1.0
326,0.03773375749071121,103.3669331384646,Low,Within 1 week,1.0
327,0.12607782928830766,107.85994874889813,Low,Within 1 week,1.0
328,0.15682035678368142,102.38427576008289,Low,Immediate,0.0
329,0.0740481537574999,104.80363815648668,Low,Within 1 week,1.0
330,0.09316468997526549,88.6451502924509,Low,Immediate,0.0
331,0.11271227167867316,106.08034734623479,Low,Within 1 week,1.0
332,0.09492519785177804,105.90848064940064,Low,Within 1 week,1.0
333,0.06358870107830762,105.52870621346638,Low,Within 1 week,1.0
334,0.14623062209353363,105.09890930841132,Low,Immediate,0.0
335,0.15462856445561304,105.5957023174579,Low,Within 1 week,1.0
336,0.059121834888170174,102.68650350015609,Low,Within 1 week,1.0
337,0.0884409968986342,103.36816612537474,Low,Within 1 week,1.0
338,0.12458075284879801,106.12353320637226,Low,Immediate,0.0
339,0.15469273179415047,102.08905213571671,Low,Within 1 week,1.0
340,0.24181016493444918,100.05168200985189,Low,Immediate,0.0
341,0.06753062969632827,102.03976715651145,Low,Within 1 week,1.0
342,0.052193101311803186,101.295547583839,Low,Within 1 week,1.0
343,0.05916182388979477,102.86050273347998,Low,Within 1 week,1.0
344,0.10665572622724871,104.23024995335625,Low,Within 1 week,1.0
345,0.06625182554494434,108.21160112209019,Low,Within 1 week,1.0
346,0.06062578205899805,100.1688311381413,Low,Within 1 week,1.0
347,0.5389737363054107,98.75840402059379,Medium,Immediate,0.0
348,0.1251632138013721,104.25442114530948,Low,Within 1 week,1.0
349,0.18414314059102616,100.22589295904898,Low,Within 1 week,1.0
350,0.1204838709139143,103.67113360109036,Low,Within 1 week,1.0
351,0.06059152753930615,96.79686409718808,Low,Immediate,0.0
352,0.12888312030048862,116.32087836025062,Low,Within 1 week,1.0
353,0.027541168415451688,100.9707807595616,Low,Immediate,0.0
354,0.06759863943904365,100.0621180922941,Low,Within 1 week,1.0
355,0.033834401262232666,103.48325516177205,Low,Within 1 week,1.0
356,0.10648770807749024,107.9968771276794,Low,Within 1 week,1.0
357,0.16896213739235258,104.07266658623189,Low,Within 1 week,1.0
358,0.8106800434868897,100.60252578443041,High,Immediate,0.0
359,0.05827395283586769,98.9641188140813,Low,Within 1 week,1.0
360,0.068094136698438,112.88755046854457,Low,Within 1 week,1.0
361,0.09108476525337085,103.12528355501854,Low,Within 1 week,1.0
362,0.11348103170357877,101.05352205396113,Low,Within 1 week,1.0
363,0.1650790385389336,105.51709484408187,Low,Within 1 week,1.0
364,0.07464795779055003,104.93117424213055,Low,Immediate,0.0
365,0.7392841824529477,106.12089420851719,High,Immediate,0.0
366,0.04937022111184893,110.47586686744933,Low,Within 1 week,1.0
367,0.038374940364374485,107.48428903140749,Low,Within 1 week,1.0
368,0.07182558544635541,98.29922884636471,Low,Immediate,0.0
369,0.17752430718184548,104.26688245324843,Low,Immediate,0.0
370,0.09683135959067052,102.2079484130358,Low,Within 1 week,1.0
371,0.047978114239459545,104.5238866141004,Low,Within 1 week,1.0
372,0.048992368475555964,104.35094098101013,Low,Immediate,0.0
373,0.1627765351479778,104.62839651854591,Low,Within 1 week,1.0
374,0.021259018855724555,102.78718784736314,Low,Immediate,0.0
375,0.14713634808549536,104.78753848715387,Low,Immediate,0.0
376,0.060193962421899574,107.36120559814826,Low,Within 1 week,1.0
377,0.0543565786816351,105.03557733557773,Low,Within 1 week,1.0
378,0.029109995716614524,101.1181702478343,Low,Within 1 week,1.0
379,0.04668581643754629,98.2912768500449,Low,Within 1 week,1.0
380,0.13625332871344645,100.72429024316247,Low,Within 1 week,1.0
381,0.024663102520409028,101.96845869273007,Low,Within 1 week,1.0
382,0.10254121163716551,103.90858810369568,Low,Within 1 week,1.0
383,0.14399225439041913,105.08109619400413,Low,Within 1 week,1.0
384,0.43389422965126023,110.53478490073826,Medium,Immediate,0.0
385,0.1500454826213163,101.37191256750843,Low,Within 1 week,1.0
386,0.14086077431435803,103.88596981790853,Low,Within 1 week,1.0
387,0.14744806263482638,106.15092679441551,Low,Within 1 week,1.0
388,0.07333337318056699,105.41185108479334,Low,Immediate,0.0
389,0.2336815657119571,102.27680617011485,Low,Immediate,0.0
390,0.06659483406635039,104.4020522738991,Low,Immediate,0.0
391,0.04525723225821626,105.17124542761523,Low,Within 1 week,1.0
392,0.15250037294291344,102.0675314781838,Low,Within 1 week,1.0
393,0.1112779446404895,102.27067031953271,Low,Within 1 week,1.0
394,0.03977120588514493,114.1038528806804,Low,Within 1 week,1.0
395,0.15425343500636537,110.9047164998464,Low,Within 1 week,1.0
396,0.1530941989923177,104.44010453672384,Low,Immediate,0.0
397,0.0918262126254625,110.36190758622392,Low,Within 1 week,1.0
398,0.1646464209547195,102.58804520766907,Low,Within 1 week,1.0
399,0.15793345939451237,100.82404608671227,Low,Within 1 week,1.0
400,0.12838518695986875,103.2733992452163,Low,Within 1 week,1.0
401,0.18205515064712224,105.3915869964869,Low,Immediate,0.0
402,0.0880288938268574,97.24894225043263,Low,Within 1 week,1.0
403,0.023238088779300347,102.81226605234137,Low,Within 1 week,1.0
404,0.16865723767747964,94.80400172998432,Low,Within 1 week,2.0
405,0.087345897808904,100.74349974273032,Low,Within 1 week,1.0
406,0.0475396183816771,105.7398706849232,Low,Within 1 week,1.0
407,0.14026475100650987,101.8711874504565,Low,Within 1 week,1.0
408,0.16775022316153287,104.52240161052315,Low,Immediate,0.0
409,0.5512877653393258,90.71958534342943,Medium,Immediate,0.0
410,0.169322555793506,105.12405690396771,Low,Immediate,0.0
411,0.48065145727437447,104.35447236164815,Medium,Immediate,0.0
412,0.03676824665310448,100.06196412901285,Low,Within 1 week,1.0
413,0.5402627333063034,98.97350481822444,Medium,Immediate,0.0
414,0.09387975390753577,101.76468653648429,Low,Within 1 week,1.0
415,0.071408340638703,94.8398706414076,Low,Within 1 week,2.0
416,0.11868435020186091,108.26980858852595,Low,Within 1 week,1.0
417,0.17232942664014042,97.6572652662819,Low,Immediate,0.0
418,0.08436674974918278,104.89495667138237,Low,Within 1 week,1.0
419,0.07685132574116876,99.33496032521256,Low,Within 1 week,1.0
420,0.161417222587433,104.00967166640147,Low,Within 1 week,1.0
421,0.21028468281276144,107.60206697238839,Low,Within 1 week,1.0
422,0.12093866291354319,101.48759868109809,Low,Within 1 week,1.0
423,0.14295054076552124,104.67369984103051,Low,Within 1 week,1.0
424,0.1494954168392803,104.96926084166255,Low,Within 1 week,1.0
425,0.1527904166137037,105.29399183825554,Low,Immediate,0.0
426,0.13623553483785222,105.50222534261717,Low,Within 1 week,1.0
427,0.09359214548161349,103.00837644362755,Low,Immediate,0.0
428,0.031716438325071566,108.7432271019755,Low,Within 1 week,1.0
